Created as New Dataset,
nm,%T
900.0,99.24
899.0,98.97
898.0,99.08
897.0,99.28
896.0,98.94
895.0,98.88
894.0,99.12
893.0,99.19
892.0,99.03
891.0,99.14
890.0,99.29
889.0,98.95
888.0,99.26
887.0,99.61
886.0,99.58
885.0,99.07
884.0,99.59
883.0,99.00
882.0,99.37
881.0,99.04
880.0,98.98
879.0,99.22
878.0,98.90
877.0,99.28
876.0,99.16
875.0,99.09
874.0,98.81
873.0,98.74
872.0,99.23
871.0,98.51
870.0,98.70
869.0,98.67
868.0,99.91
867.0,99.46
866.0,98.38
865.0,98.50
864.0,98.20
863.0,99.12
862.0,98.41
861.0,98.71
860.0,99.00
859.0,98.83
858.0,99.31
857.0,100.11
856.0,98.86
855.0,99.47
854.0,98.97
853.0,98.95
852.0,99.27
851.0,98.36
850.0,100.29
849.0,100.17
848.0,99.97
847.0,100.28
846.0,100.04
845.0,100.08
844.0,100.19
843.0,100.04
842.0,99.96
841.0,100.39
840.0,100.26
839.0,99.87
838.0,99.73
837.0,99.71
836.0,99.79
835.0,99.79
834.0,100.06
833.0,100.08
832.0,99.86
831.0,100.21
830.0,100.25
829.0,100.00
828.0,99.78
827.0,100.13
826.0,100.30
825.0,100.01
824.0,99.94
823.0,99.90
822.0,100.02
821.0,100.13
820.0,100.13
819.0,99.81
818.0,99.89
817.0,100.06
816.0,100.09
815.0,99.90
814.0,99.92
813.0,100.01
812.0,99.90
811.0,99.93
810.0,100.03
809.0,99.92
808.0,99.94
807.0,100.15
806.0,99.90
805.0,99.83
804.0,99.98
803.0,100.13
802.0,100.08
801.0,100.05
800.0,100.03
799.0,100.11
798.0,100.17
797.0,100.19
796.0,100.08
795.0,99.86
794.0,99.96
793.0,99.99
792.0,99.92
791.0,99.85
790.0,99.82
789.0,100.02
788.0,100.19
787.0,100.11
786.0,100.03
785.0,100.01
784.0,100.01
783.0,100.07
782.0,100.06
781.0,99.98
780.0,100.00
779.0,100.04
778.0,100.05
777.0,100.02
776.0,99.98
775.0,100.01
774.0,100.06
773.0,99.92
772.0,99.93
771.0,99.98
770.0,99.93
769.0,99.91
768.0,99.98
767.0,99.97
766.0,99.97
765.0,100.03
764.0,100.00
763.0,99.94
762.0,100.08
761.0,100.17
760.0,100.12
759.0,100.15
758.0,100.16
757.0,100.04
756.0,100.01
755.0,100.14
754.0,100.10
753.0,100.05
752.0,100.03
751.0,100.13
750.0,100.07
749.0,100.10
748.0,100.07
747.0,100.09
746.0,100.13
745.0,100.02
744.0,100.03
743.0,99.99
742.0,100.05
741.0,100.10
740.0,100.00
739.0,100.05
738.0,100.10
737.0,100.25
736.0,100.17
735.0,99.96
734.0,100.05
733.0,100.09
732.0,100.03
731.0,99.86
730.0,100.04
729.0,100.10
728.0,100.04
727.0,99.93
726.0,100.04
725.0,99.90
724.0,99.84
723.0,99.93
722.0,100.01
721.0,99.95
720.0,99.96
719.0,99.98
718.0,100.08
717.0,99.92
716.0,99.94
715.0,100.08
714.0,100.01
713.0,99.96
712.0,100.11
711.0,99.88
710.0,99.85
709.0,100.02
708.0,100.07
707.0,100.11
706.0,100.12
705.0,100.06
704.0,100.15
703.0,99.99
702.0,99.98
701.0,99.99
700.0,100.07
