Created as New Dataset,
nm,%T
900.0,100.09
899.0,99.90
898.0,99.97
897.0,99.82
896.0,99.99
895.0,100.12
894.0,100.11
893.0,99.61
892.0,100.04
891.0,99.94
890.0,100.17
889.0,99.98
888.0,99.74
887.0,100.07
886.0,99.83
885.0,99.95
884.0,99.95
883.0,99.86
882.0,99.95
881.0,100.23
880.0,100.06
879.0,100.12
878.0,100.04
877.0,100.13
876.0,99.92
875.0,99.97
874.0,99.97
873.0,99.92
872.0,99.80
871.0,99.93
870.0,100.22
869.0,100.01
868.0,100.05
867.0,100.13
866.0,100.02
865.0,100.06
864.0,99.86
863.0,99.77
862.0,100.17
861.0,100.10
860.0,100.05
859.0,99.86
858.0,99.95
857.0,100.02
856.0,100.15
855.0,100.12
854.0,99.85
853.0,100.01
852.0,100.15
851.0,100.17
850.0,100.19
849.0,100.28
848.0,99.82
847.0,100.10
846.0,100.09
845.0,100.30
844.0,100.28
843.0,99.85
842.0,100.17
841.0,100.10
840.0,99.89
839.0,99.97
838.0,100.16
837.0,100.24
836.0,99.80
835.0,100.18
834.0,99.97
833.0,99.71
832.0,99.82
831.0,100.03
830.0,100.03
829.0,99.96
828.0,100.05
827.0,100.03
826.0,100.03
825.0,100.24
824.0,99.91
823.0,99.82
822.0,99.86
821.0,100.08
820.0,100.06
819.0,99.87
818.0,99.99
817.0,100.06
816.0,100.05
815.0,99.84
814.0,99.88
813.0,100.05
812.0,100.03
811.0,99.96
810.0,99.87
809.0,100.02
808.0,99.99
807.0,100.04
806.0,100.00
805.0,99.98
804.0,100.04
803.0,99.95
802.0,99.95
801.0,100.03
800.0,99.98
799.0,100.04
798.0,100.01
797.0,99.93
796.0,100.13
795.0,100.20
794.0,100.15
793.0,100.13
792.0,100.07
791.0,100.00
790.0,99.85
789.0,99.93
788.0,100.07
787.0,100.03
786.0,100.26
785.0,100.18
784.0,100.09
783.0,100.05
782.0,100.03
781.0,100.08
780.0,100.06
779.0,99.97
778.0,99.94
777.0,99.97
776.0,100.04
775.0,100.17
774.0,100.00
773.0,99.93
772.0,100.03
771.0,99.97
770.0,100.07
769.0,100.17
768.0,100.18
767.0,100.02
766.0,100.03
765.0,100.21
764.0,100.05
763.0,99.97
762.0,100.02
761.0,100.02
760.0,100.11
759.0,100.29
758.0,100.22
757.0,100.03
756.0,99.97
755.0,99.98
754.0,99.99
753.0,100.00
752.0,99.96
751.0,99.98
750.0,100.02
749.0,99.86
748.0,99.86
747.0,99.88
746.0,100.08
745.0,100.07
744.0,99.83
743.0,99.89
742.0,99.98
741.0,100.02
740.0,99.95
739.0,99.86
738.0,99.82
737.0,100.03
736.0,99.95
735.0,100.00
734.0,99.99
733.0,100.00
732.0,99.97
731.0,100.14
730.0,100.00
729.0,100.03
728.0,100.00
727.0,100.05
726.0,100.03
725.0,100.10
724.0,100.04
723.0,99.95
722.0,100.03
721.0,99.93
720.0,100.01
719.0,100.08
718.0,100.06
717.0,100.14
716.0,100.08
715.0,99.87
714.0,99.74
713.0,99.91
712.0,100.01
711.0,99.89
710.0,99.96
709.0,99.98
708.0,99.94
707.0,99.97
706.0,100.04
705.0,99.98
704.0,100.03
703.0,99.86
702.0,99.93
701.0,100.14
700.0,100.12
