Created as New Dataset,
nm,%T
900.0,98.17
898.0,101.10
896.0,102.20
894.0,102.97
892.0,97.48
890.0,103.03
888.0,104.03
886.0,100.82
884.0,97.34
882.0,102.74
880.0,101.46
878.0,100.38
876.0,99.10
874.0,104.04
872.0,100.47
870.0,103.26
868.0,98.85
866.0,104.15
864.0,104.14
862.0,101.60
860.0,97.50
858.0,102.29
856.0,101.79
854.0,103.98
852.0,96.82
850.0,100.18
848.0,100.01
846.0,100.07
844.0,99.89
842.0,100.24
840.0,100.02
838.0,99.85
836.0,100.04
834.0,100.05
832.0,100.15
830.0,99.89
828.0,100.01
826.0,100.04
824.0,99.94
822.0,99.93
820.0,99.95
818.0,99.95
816.0,99.93
814.0,99.99
812.0,99.98
810.0,100.10
808.0,100.10
806.0,100.02
804.0,100.02
802.0,99.99
800.0,99.93
798.0,99.87
796.0,99.99
794.0,99.98
792.0,99.98
790.0,99.96
788.0,99.90
786.0,99.98
784.0,99.97
782.0,99.96
780.0,99.91
778.0,99.97
776.0,99.98
774.0,100.00
772.0,99.99
770.0,99.95
768.0,100.00
766.0,100.09
764.0,100.00
762.0,99.99
760.0,100.03
758.0,99.93
756.0,99.96
754.0,99.98
752.0,99.92
750.0,99.96
748.0,99.98
746.0,99.99
744.0,100.05
742.0,100.00
740.0,100.02
738.0,100.00
736.0,99.97
734.0,100.03
732.0,100.03
730.0,99.99
728.0,100.01
726.0,99.99
724.0,100.01
722.0,99.97
720.0,99.92
718.0,99.96
716.0,99.93
714.0,99.97
712.0,99.99
710.0,99.99
708.0,100.00
706.0,100.02
704.0,100.01
702.0,99.98
700.0,99.98
