#Date: 2022-07-14 11:43:06
#Source: Sample2.Sample


#Data:
nm,%T
900,-0.00187886650950113
899,-0.00237329098327423
898,-0.00128555168461659
897,-0.000593307491495926
896,-0.00385668937828189
895,-0.00286774361976488
894,-0.00217570391438803
893,-0.000890080938026631
892,-0.00207676925906806
891,-0.00197790873731295
890,-0.000988913293071377
889,0
888,-0.00158228786958783
887,-0.00178004040691724
886,-0.00148335967120838
885,-0.0000988880043906274
884,-0.00316441926973114
883,-0.0022743071521027
882,-0.00138452379304138
881,-0.000988916226928584
880,-0.00207667684238319
879,-0.003559785107639
878,-0.000988859508774151
877,0.000593316291970947
876,-0.00168103955486073
875,-0.00326306213661354
874,-0.000791063357253112
873,-0.00306519168324507
872,-0.0039551486147092
871,-0.00247187500617969
870,0
869,0.000692073680141341
868,-0.00197734750696026
867,-0.00207612456747405
866,-0.00237259416480237
865,0.0031635276892704
864,-0.00128509800355082
863,-0.00336071990574169
862,-0.00316293670765964
861,-0.0016803267345914
860,-0.016247371370692
859,-0.0229703303318085
858,-0.0331493408499123
857,-0.0367571607543795
856,-0.0350353306866721
855,-0.0355764451406134
854,-0.0345825651135951
853,-0.032874872167324
852,-0.0311695857471269
851,-0.0313901300175161
850,-0.0293150616168461
849,-0.0274427008425109
848,-0.0271712256720133
847,-0.0259052902588138
846,-0.0243566610497224
845,-0.024106640635463
844,-0.0240382950814483
843,-0.0228909267075941
842,-0.0207676756541818
841,-0.0207182252630773
840,-0.0193965897268607
839,-0.0172009382329945
838,-0.0155085033416435
837,-0.0147940512341353
836,-0.0153438428945868
835,-0.0138572873826976
834,-0.0126710102760926
833,-0.0127424935129124
832,-0.0115629661320722
831,-0.0103850048222962
830,-0.0101785959491109
829,-0.00929976597186869
828,-0.00804034722813815
827,-0.00774287535978083
826,-0.00744538381430831
825,-0.00638832633477881
824,-0.00637841923731242
823,-0.00513541812289056
822,-0.00579505824033532
821,-0.00455638815111261
820,-0.00388804700553999
819,-0.00379066075955365
818,-0.00246232174211157
817,-0.00264990162240227
816,-0.00236455587492824
815,-0.00293084898186088
814,-0.00255110477009349
813,-0.00179413017264254
812,-0.00217113243435864
811,-0.00169802670429997
810,-0.00141375793825082
809,-0.00273308503098753
808,-0.00188424694186721
807,-0.0022613860789073
806,-0.00273196502707943
805,-0.00169529517914561
804,-0.00244822244925824
803,-0.00282410353540108
802,-0.00282384568248114
801,-0.00207078898001406
800,-0.00244718319801665
799,-0.0029175701722684
798,-0.00197629388431152
797,-0.00263453041377182
796,-0.00272848985613332
795,-0.00197587364193971
794,-0.00216344955447049
793,-0.00244596993526646
792,-0.00216344751946632
791,-0.00225719834660221
790,-0.00225741277921374
789,-0.00188131711010879
788,-0.00216334373933025
787,-0.00235175699765295
786,-0.00291552318593326
785,-0.00253916903342299
784,-0.00169304206739248
783,-0.00178728824161879
782,-0.0025396729841816
781,-0.00206932035054287
780,-0.00253995251229525
779,-0.002069896646297
778,-0.00206967660362306
777,-0.00131710658026447
776,-0.000846920924875291
775,-0.00112926615579921
774,-0.00112911420990233
773,-0.00141140604269974
772,-0.00225858119693511
771,-0.00197632550269251
770,-0.000941097639821229
769,-0.00188211203083652
768,-0.00197618973679976
767,-0.00207044208644096
766,-0.00178825549088554
765,-0.00141179659587605
764,-0.00150608788964141
763,-0.00122372060011258
762,-0.00169440150914694
761,-0.00188281013177788
760,-0.00122392221880152
759,-0.00150684957309068
758,-0.00216633496624756
757,-0.00216630844087956
756,-0.00141281650621781
755,-0.00207228897504587
754,-0.00169576473336926
753,-0.00141335697722517
752,-0.00141347950596064
751,-0.00122512293637465
750,-0.0016021699035211
749,-0.00179072292426939
748,-0.00207361131663951
747,-0.00188510297374994
746,-0.00113105112351078
745,-0.00113125157903866
744,-0.00141435113812836
743,-0.00113154492657688
742,-0.00141474599178881
741,-0.00132060396879224
740,-0.00141489278414113
739,-0.00150937842852952
738,-0.00150960201229948
737,-0.0018869758099136
736,-0.00132090549959005
735,-0.000849361091712123
734,-0.00113268455678997
733,-0.00113276260977178
732,-0.000283194662347004
731,-0.000660880500532009
730,-0.000944201469932848
729,-0.000188862227837726
728,-0.00018888559388464
727,-0.000850126479928514
726,-0.00113368509062395
725,-0.000755825049175867
724,-0.00122835728945011
723,-0.00122857088854027
722,-0.00113423372587272
721,-0.00094528948072413
720,-0.000850853831820232
719,-0.000567295419089491
718,-0.00132388457995979
717,-0.00141864362537216
716,-0.000378364726570001
715,-0.000473027946491079
714,-0.000851643672287515
713,-0.000946448970784067
712,-0.000473226276930124
711,-0.000662563191964434
710,-0.00113601185996382
709,-0.00085211134254876
708,-0.000189393042646578
707,-0.000568260384484976
706,-0.000663069043485015
705,-0.000189453143501284
704,-0.000378965518874851
703,-0.000568556548634327
702,-0.000568650847431925
701,-0.00123222281621681
700,-0.000284400356069246
699,-0.0000948260084983069
698,-0.000569070451870392
697,-0.000379382100373122
696,-0.000189714981697247
695,0.000379486838922068
694,0
693,-0.000759227941106689
692,0.0000949314215410787
691,0
690,-0.000665234827894247
689,-0.000950911115485302
688,-0.00114124744051485
687,-0.000951234940761844
686,-0.00104657745386734
685,-0.000951559892131171
684,-0.00057103591625568
683,-0.00142788740251099
682,-0.00123774984694747
681,-0.000761876463636112
680,-0.000476257152191783
679,-0.000857311053406668
678,-0.00133392915502258
677,-0.000476520409845674
676,-0.000857854467849044
675,-0.000286022918063015
674,-0.000381427530676309
673,0.000190715583942511
672,-0.00123987711864003
671,-0.000667761796012126
670,-0.000763271381139564
669,-0.000763397385554804
668,-0.000858844186579128
667,-0.000381811638955096
666,-0.000477346108388117
665,-0.000763932456911822
664,-0.000763987172655371
663,-0.000859724486959412
662,-0.00143308359463224
661,-0.000191097347855458
660,-0.000668949376778091
659,-0.000860293168794299
658,-0.000382385781367106
657,-0.00019122488141667
656,-0.00105194202843112
655,-0.00172166098199717
654,-0.0010522670615538
653,-0.00076542864961164
652,-0.00028707502131532
651,-0.000574280283235036
650,0.0000957383967456604
649,-0.000478722691264077
648,-0.000957559983951295
647,-0.000191539141502414
646,0.000574750079507094
645,-0.0000958062720534062
644,-0.000191666163542987
643,-0.00134169914696685
642,-0.00134197308385415
641,-0.000383480062392206
640,-0.000479485224662802
639,-0.000671369449812736
638,-0.000959128650803318
637,-0.000191871737580862
636,-0.000767533339729444
635,-0.00105556189958919
634,-0.00047991461359195
633,-0.000575960005337229
632,-0.000960068817732855
631,0.000288101135022438
630,-0.00048024465583747
629,-0.0000960624021364278
628,-0.000768652801451216
627,-0.000672737320102833
626,-0.000288292443855046
625,-0.00009612630227108
624,-0.000576843760905952
623,-0.000384663467548828
622,-0.000769386126044682
621,-0.00105794458678608
620,-0.000192389087690946
619,-0.000480991226720025
618,-0.000384966666698747
617,-0.000192515572103338
616,0.000481361675908811
615,-0.000962830876830823
614,-0.000192597885467815
613,0.0000963182354499266
612,-0.000385267004481618
611,0.000963463535795561
610,-0.000289017341040462
609,-0.000192724273236766
608,-0.00163866951602378
607,-0.00057842698708951
606,-0.000771485137820998
605,-0.00115705698698504
604,-0.000771689788421952
603,0.000771729987112109
602,-0.00028944984268401
601,-0.000193015167131833
600,-0.000386157787933728
599,-0.0000965618198426815
598,-0.000289707279764526
597,-0.000482916817578172
596,-0.000386398390264306
595,-0.000676320661016491
594,-0.000579828911815754
593,0.000193320767483447
592,-0.000483414063481935
591,-0.000386736111581103
590,-0.0000967168498161413
589,0
588,-0.000387038468721002
587,0.000387160593246177
586,-0.000484091776055272
585,-0.00077462708967761
584,-0.000871846338051636
583,-0.000387628450377744
582,-0.000290779667522528
581,-0.000581676041345533
580,-0.000290894422778197
579,0.000193975132388028
578,-0.0000970143823821882
577,-0.000485191000289174
576,0
575,0.000194193045364466
574,-0.00067983012016483
573,-0.00038858417413234
572,0.000194340418337184
571,-0.000291584577508526
570,0.000583373278198076
569,0.000486238951435426
568,-0.00038907023885022
567,0
566,0.000875832283956504
565,0.000681427025006425
564,0.000876219405339097
563,-0.0000973643471233704
562,-0.00165420176980128
561,-0.00214179667534743
560,-0.0025317145939714
559,-0.00253246671023808
558,-0.00204607368203625
557,-0.00194934053809596
556,-0.001267369049093
555,-0.00214548327010659
554,-0.00273128097077529
553,-0.00234174899377973
552,-0.00263530844821326
551,-0.00273369157710572
550,-0.00244151354307562
549,-0.00312552193774546
548,-0.00302920742253535
547,-0.00322546908583364
546,-0.00342176811557364
545,-0.00312913449117828
544,-0.0039127955261096
543,-0.00342488876450563
542,-0.00254515695787178
541,-0.00332931530672296
540,-0.0033303686522194
539,-0.0039192746990242
538,-0.00411672281419172
537,-0.00392209926441028
536,-0.00372725150512301
535,-0.00412092359709534
534,-0.00363114264207827
533,-0.0032396040614818
532,-0.00373181599004587
531,-0.0028489244818887
530,-0.0027518670926819
529,-0.00157301647538131
528,0.000491691882265362
527,0.00265570287602786
526,0.00669072704588658
525,0.0120085240834888
524,0.0191027234181665
523,0.0312258664439156
522,0.0492685104257095
521,0.0764863586185144
520,0.117426322623645
519,0.181266796518652
518,0.278782629454874
517,0.430441552905234
516,0.667448416364627
515,1.03202200488515
514,1.580598681995
513,2.37924957721547
512,3.50371901479701
511,5.02805443459714
510,6.99174243353015
509,9.37626108768071
508,12.0755967841682
507,14.9241276911656
506,17.7078031264792
505,20.1822574845139
504,22.1621851979223
503,23.5636742966615
502,24.3921023155125
501,24.6505806203143
500,24.3227461946678
499,23.3687649411891
498,21.75906043471
497,19.5263194016876
496,16.7903551819301
495,13.7967256336704
494,10.8514506288133
493,8.20022243837102
492,5.98201795014204
491,4.23684596452618
490,2.930435103738
489,1.99350908727781
488,1.34486992364551
487,0.904450488107411
486,0.607641319609733
485,0.407740974916175
484,0.273904307685839
483,0.183042105695545
482,0.12100772263867
481,0.079436721429861
480,0.0522751216575528
479,0.0353264687581542
478,0.0241898896298646
477,0.0166646254173686
476,0.0105440742302826
475,0.00592670573604662
474,0.00271296253499219
473,0.00080405404047206
472,0.000100531510093866
