Created as New Dataset,blank 0,1 %
nm,%T
503.0,99.86
502.0,100.63
501.0,100.15
500.0,99.35
499.0,99.97
498.0,100.32
497.0,99.93
496.0,100.13
495.0,99.81
494.0,99.77
493.0,100.52
492.0,99.87
491.0,99.02
490.0,99.64
489.0,99.76
488.0,99.30
487.0,99.94
486.0,100.65
485.0,100.49
484.0,99.35
483.0,99.77
482.0,99.66
481.0,100.10
480.0,100.41
479.0,100.49
478.0,101.49
477.0,100.25
476.0,99.76
475.0,101.44
474.0,100.96
473.0,100.98
472.0,100.80
471.0,99.73
470.0,99.82
469.0,100.20
468.0,99.38
467.0,99.95
466.0,98.99
465.0,98.74
464.0,99.79
463.0,99.38
462.0,99.39
461.0,99.67
460.0,99.88
459.0,100.42
458.0,100.55
457.0,100.58
456.0,99.60
455.0,99.26
454.0,100.07
453.0,99.46
452.0,99.13
451.0,99.26
450.0,99.16
449.0,98.91
448.0,99.25
447.0,99.39
446.0,100.17
445.0,100.13
444.0,99.71
443.0,100.64
442.0,99.74
441.0,97.96
440.0,100.70
439.0,100.18
438.0,99.82
437.0,99.54
436.0,99.53
435.0,99.78
434.0,99.33
433.0,99.41
432.0,100.95
431.0,100.01
430.0,99.50
429.0,99.83
428.0,101.30
427.0,101.58
426.0,100.09
425.0,100.64
424.0,100.82
423.0,100.22
422.0,100.55
421.0,99.80
420.0,100.49
419.0,100.28
418.0,98.38
417.0,98.65
416.0,100.92
415.0,99.57
414.0,99.67
413.0,100.77
412.0,100.37
411.0,100.22
410.0,99.51
409.0,99.25
408.0,99.51
407.0,99.64
406.0,100.57
405.0,99.83
404.0,99.22
403.0,99.44
402.0,101.05
401.0,101.78
400.0,101.70
399.0,98.98
398.0,99.10
397.0,100.33
396.0,98.62
395.0,100.00
394.0,100.23
393.0,100.55
392.0,99.80
391.0,100.16
390.0,100.11
389.0,100.14
388.0,98.81
387.0,99.46
386.0,100.17
385.0,98.84
384.0,98.84
383.0,98.39
382.0,99.02
381.0,100.37
380.0,98.70
379.0,100.30
378.0,94.58
377.0,101.19
376.0,100.49
375.0,99.41
374.0,97.32
373.0,99.01
372.0,101.36
371.0,101.65
370.0,100.47
369.0,100.30
368.0,101.47
367.0,99.33
366.0,101.64
365.0,100.07
364.0,100.34
363.0,101.54
362.0,99.42
361.0,102.00
360.0,100.35
359.0,100.00
358.0,99.58
357.0,100.71
356.0,101.12
355.0,99.72
354.0,99.54
353.0,101.06
352.0,101.44
351.0,99.53
350.0,99.90
349.0,100.96
348.0,100.08
347.0,100.23
346.0,100.28
345.0,101.59
344.0,99.77
343.0,98.69
342.0,101.87
341.0,100.96
340.0,98.56
339.0,99.83
338.0,101.17
337.0,101.04
336.0,99.39
335.0,98.38
334.0,100.19
333.0,100.91
332.0,99.67
331.0,99.57
330.0,101.75
329.0,99.92
328.0,100.29
327.0,101.22
326.0,101.67
325.0,101.66
324.0,100.25
323.0,101.43
322.0,101.21
321.0,101.26
320.0,101.95
319.0,100.50
318.0,100.69
317.0,100.12
316.0,100.25
315.0,98.14
314.0,99.65
313.0,100.26
312.0,101.13
311.0,98.84
310.0,98.79
309.0,99.09
308.0,100.09
307.0,100.73
306.0,100.62
305.0,100.97
304.0,100.70
303.0,98.82
302.0,99.48
301.0,99.24
300.0,100.33
299.0,99.31
298.0,99.34
297.0,100.25
296.0,99.41
295.0,98.68
294.0,99.78
293.0,99.63
292.0,99.66
291.0,99.08
290.0,99.82
289.0,99.98
288.0,99.18
287.0,99.70
286.0,101.27
285.0,100.07
284.0,100.61
283.0,100.60
282.0,99.58
281.0,100.48
280.0,99.68
279.0,98.95
278.0,100.35
277.0,100.93
276.0,99.76
275.0,99.13
274.0,99.40
273.0,99.62
272.0,99.26
271.0,99.43
270.0,100.19
269.0,99.70
268.0,99.24
267.0,99.58
266.0,100.54
265.0,100.56
264.0,99.67
263.0,99.25
262.0,99.93
261.0,99.32
260.0,99.03
259.0,100.82
258.0,100.67
257.0,99.60
256.0,99.46
255.0,99.55
254.0,99.34
253.0,99.22
252.0,99.59
251.0,100.10
250.0,99.82
