Created as New Dataset,blank 100 %
nm,%T
503.0,100.00
502.0,100.00
501.0,99.99
500.0,100.00
499.0,99.99
498.0,99.99
497.0,100.00
496.0,100.02
495.0,100.01
494.0,100.00
493.0,100.01
492.0,100.01
491.0,100.01
490.0,100.01
489.0,100.01
488.0,100.01
487.0,100.01
486.0,100.02
485.0,100.02
484.0,100.01
483.0,100.01
482.0,100.01
481.0,99.99
480.0,100.00
479.0,100.01
478.0,100.01
477.0,100.02
476.0,100.02
475.0,100.01
474.0,100.01
473.0,100.01
472.0,100.01
471.0,100.01
470.0,100.01
469.0,100.00
468.0,99.99
467.0,100.00
466.0,100.01
465.0,100.01
464.0,100.01
463.0,100.00
462.0,100.00
461.0,100.00
460.0,99.99
459.0,100.00
458.0,100.00
457.0,100.00
456.0,99.99
455.0,100.01
454.0,100.00
453.0,100.00
452.0,99.99
451.0,100.00
450.0,100.01
449.0,100.02
448.0,100.02
447.0,100.00
446.0,99.99
445.0,100.00
444.0,99.99
443.0,100.01
442.0,100.01
441.0,100.01
440.0,100.02
439.0,100.01
438.0,100.00
437.0,100.00
436.0,100.02
435.0,100.00
434.0,99.99
433.0,99.99
432.0,100.00
431.0,100.00
430.0,99.99
429.0,99.99
428.0,99.98
427.0,100.00
426.0,100.00
425.0,100.01
424.0,100.00
423.0,100.01
422.0,100.00
421.0,100.00
420.0,99.98
419.0,100.01
418.0,100.00
417.0,100.00
416.0,100.00
415.0,100.02
414.0,100.02
413.0,100.01
412.0,100.01
411.0,100.00
410.0,100.01
409.0,100.00
408.0,100.02
407.0,100.01
406.0,100.00
405.0,99.98
404.0,99.98
403.0,99.99
402.0,99.99
401.0,100.01
400.0,99.98
399.0,99.99
398.0,100.00
397.0,100.01
396.0,100.01
395.0,100.01
394.0,100.02
393.0,100.01
392.0,100.03
391.0,100.02
390.0,99.98
389.0,100.03
388.0,99.98
387.0,100.00
386.0,100.00
385.0,99.99
384.0,100.02
383.0,100.03
382.0,100.00
381.0,100.00
380.0,100.01
379.0,99.99
378.0,100.02
377.0,100.00
376.0,100.00
375.0,99.98
374.0,100.03
373.0,100.04
372.0,100.06
371.0,99.99
370.0,100.03
369.0,100.03
368.0,99.97
367.0,99.99
366.0,99.98
365.0,99.99
364.0,100.00
363.0,100.01
362.0,100.00
361.0,99.96
360.0,99.98
359.0,100.00
358.0,100.00
357.0,99.99
356.0,99.99
355.0,100.00
354.0,100.01
353.0,100.01
352.0,99.99
351.0,100.03
350.0,100.04
349.0,100.00
348.0,99.99
347.0,99.98
346.0,100.03
345.0,100.01
344.0,100.00
343.0,99.99
342.0,100.01
341.0,100.03
340.0,100.02
339.0,100.00
338.0,100.00
337.0,99.99
336.0,99.99
335.0,100.00
334.0,100.01
333.0,100.01
332.0,99.99
331.0,100.00
330.0,99.97
329.0,100.00
328.0,100.03
327.0,99.99
326.0,100.00
325.0,100.01
324.0,99.97
323.0,99.99
322.0,99.98
321.0,99.99
320.0,100.03
319.0,100.03
318.0,100.01
317.0,100.02
316.0,100.03
315.0,100.01
314.0,100.00
313.0,100.02
312.0,100.01
311.0,99.98
310.0,100.00
309.0,100.01
308.0,100.00
307.0,100.03
306.0,100.01
305.0,100.01
304.0,100.00
303.0,100.01
302.0,100.01
301.0,100.00
300.0,100.01
299.0,100.02
298.0,100.00
297.0,100.00
296.0,100.00
295.0,100.03
294.0,100.02
293.0,100.03
292.0,100.04
291.0,100.03
290.0,100.01
289.0,100.02
288.0,100.01
287.0,100.01
286.0,100.00
285.0,99.99
284.0,99.99
283.0,100.01
282.0,100.02
281.0,100.01
280.0,100.00
279.0,100.00
278.0,100.00
277.0,99.98
276.0,99.98
275.0,99.98
274.0,99.98
273.0,100.01
272.0,100.03
271.0,100.01
270.0,100.00
269.0,99.99
268.0,100.00
267.0,100.00
266.0,99.98
265.0,100.00
264.0,100.01
263.0,100.00
262.0,100.00
261.0,99.98
260.0,99.99
259.0,100.01
258.0,100.00
257.0,99.99
256.0,99.98
255.0,99.99
254.0,99.99
253.0,100.00
252.0,100.02
251.0,100.02
250.0,100.00
